bar,drinker
"Ruthless Chestnut","Clay Peeler"
"Russian Otter Pub","Clay Peeler"
"Rusty Sailor Outpost","Clay Peeler"
"Spirited Brew Saloon","Clayton Leaver"
"Jealous Fiddle Pub","Clayton Morales"
"Purple Pint Bar and Grille","Clayton Robbins"
"Psychotic Seadog","Clayton Robbins"
"Proud Spiders","Clayton Robbins"
"Original Acorn Roadhouse","Cleo Fain"
"Original Horse Brewpub","Cleo Fain"
"Skinny Guitar","Cleo Robinson"
"Chubby Badger Pub","Cleo Underwood"
"Chinese Oak","Cleo Underwood"
Anchor,"Cleora Adams"
"Hoppy Apple Brewhouse","Cleveland Trujillo"
"Fearless Drum Bar","Cliff Barnhill"
"Bloody Lady","Clifford Allen"
"Deep Flute Bar","Clifford Burke"
"Dandy Cloud Bistro","Clifford Burke"
"Daily Barracuda Inn","Clifford Burke"
"Ivory Lamb Pub","Clifford Doverspike"
"Rich Tauren Bar","Clifford Faubion"
"Scared Crossbow Tavern","Clifford Lyman"
"Safe Palm Inn","Clifford Lyman"
"Spirited Brew Saloon","Clifford Mcdermott"
"Steel Elf","Clifford Mcdermott"
"Steel Yew","Clifford Mcdermott"
"Spinning Nomad Ale House","Clifford Tucker"
"Spicy Cats Tavern","Clifford Tucker"
"Sour Axe Bar","Clifford Tucker"
"Purple Pint Bar and Grille","Clifton Flicker"
"Proud Spiders","Clifton Flicker"
"Original Acorn Roadhouse","Clifton Janssen"
"Original Horse Brewpub","Clifton Janssen"
"Outrageous Sailboat Inn","Clifton Janssen"
"Oceanic Woodpecker Inn","Clifton Pajtas"
"Organic Buffalo Bar","Clifton Pajtas"
"Nifty Branch Inn","Clint Jordan"
"Nimble Squash","Clint Jordan"
"Nimble Stream Pub","Clint Jordan"
"Rainy Lime Tavern","Clint Mcaninch"
"Real Shark Inn","Clint Mcaninch"
"Quickest Doves","Clint Mcaninch"
"Quickest Doves","Clinton Curtis"
"Real Shark Inn","Clinton Curtis"
"Rainy Lime Tavern","Clinton Curtis"
"Smelly Crane Tavern","Clinton Edmund"
"Nifty Branch Inn","Clinton Lawrence"
"Nimble Squash","Clinton Lawrence"
"Sudden Dragon Bar","Clinton Marugg"
"Deep Flute Bar","Clinton Riesenberg"
"Dandy Cloud Bistro","Clinton Riesenberg"
"Fascinated Chick Pub","Clora Johnston"
"Fluffy Husband","Clyde Charles"
"Foamy Cave","Clyde Charles"
"Fearless Drum Bar","Clyde Charles"
"Iron Turkey","Clyde Cunningham"
"Famous Tiger Pub","Clyde Petrulis"
"Fascinated Demon Pub","Clyde Petrulis"
"Sore Head","Clyde Ramos"
"Smelly Crane Tavern","Clyde Ramos"
"Hungry Vanilla Bean Tavern","Clyde Thomas"
"Hypnotic Gate Tavern","Clyde Thomas"
"Hungry Turtle Pub","Clyde Thomas"
"Brave Olive Pub","Clyde Valentine"
"Blue City","Clyde Valentine"
"Armed Pudding Bar","Cody Berg"
"Spinning Nomad Ale House","Cody Page"
"Sour Axe Bar","Cody Page"
"Spicy Cats Tavern","Cody Page"
"Steel Elf","Cody Saucedo"
"Gifted Pillow Inn","Cody Soriano"
"Gifted Zebra Tavern","Cody Soriano"
"Deep Glass Bar","Coleen Davis"
"Iron Turkey","Colin Kelly"
"Ivory Lamb Pub","Colin Kelly"
"Nifty Branch Inn","Colin Mahajan"
"Nimble Stream Pub","Colin Mahajan"
"Nimble Squash","Colin Mahajan"
"Natural Squash Tavern","Colin Munoz"
"Naughty Bean Inn","Colin Munoz"
"Thundering Table Inn","Colin Thornburg"
"Triangular Pegasus Inn","Colin Thornburg"
"Teeny Gauntlet Bar","Colin Thornburg"
"Fearless Drum Bar","Colleen Crume"
"Fluffy Husband","Colleen Crume"
"Oceanic Knight Inn","Colleen Dickey"
"Oceanic Woodpecker Inn","Colleen Dickey"
"New Spider Bar","Collen Miller"
"Nervous Jaguar Inn","Collen Miller"
"Hungry Skunks Bar","Collette Howard"
"Needy Mind Tavern","Collette Ross"
"Naughty Bean Inn","Collette Ross"
"Courageous Melon","Concepcion Morton"
"Courageous Lyre Bar","Concepcion Morton"
"Shattered Oak","Connie Blair"
"Skinny Guitar","Connie Blair"
"Jaded Pants Pub","Connie Bowlin"
"Bloody Lady","Connie Bucy"
"Snobbish Jackal Inn","Connie Garrett"
"Smelly Crane Tavern","Connie Garrett"
"Lonely Snowdrop","Connie Mcvey"
"Lively Elf","Connie Mcvey"
"Tasty Fairy Tavern","Connie Reams"
"Swift Angels Pub","Connie Totman"
"Tacky Lyre Pub","Connie Totman"
"Tasty Fairy Tavern","Connie Totman"
"Middle Cushion Bar","Connie Wallace"
"Lying Explorer Tavern","Connie Wallace"
"Magnificent Dark Elf Bar","Connie Wallace"
"Keen Snail Bar","Connie Weaver"
"Absent Snow","Connie Weiss"
"Admiral Benbow Inn","Connie Weiss"
"Amused Lemon Parlor","Connie Weslowski"
"Wrong Whip Bar","Connie Weslowski"
"Ye Olde Lord Bar","Connie Weslowski"
"Steel Yew","Connie Wright"
"Steel Elf","Connie Wright"
"Perfect Rabbit Tavern","Constance Brown"
"Poor Bats Inn","Constance Brown"
"Pleasant Parrot Tavern","Constance Brown"
"Hoppy Apple Brewhouse","Constance Cruz"
"Hot Cup Inn","Constance Cruz"
"Hungry Skunks Bar","Constance Cruz"
"Deep Lantern","Constance Murray"
"Deep Glass Bar","Constance Murray"
"Diamond Turtle Inn","Constance Murray"
"Rich Tauren Bar","Constance Pollack"
"Twelve Spider Inn","Constance Robinson"
"Uneven Ants Tavern","Constance Robinson"
"Ugliest Pants Tavern","Constance Robinson"
"Naughty Bean Inn","Consuelo Ramirez"
"Needy Mind Tavern","Consuelo Ramirez"
"Natural Squash Tavern","Consuelo Ramirez"
"Jealous Fiddle Pub","Cora Smith"
"Jaded Pants Pub","Cora Smith"
"Keen Snail Bar","Cora Smith"
"Snobbish Jackal Inn","Corey Belzer"
"Smelly Crane Tavern","Corey Belzer"
"Clean Bed Inn","Corey Key"
"Famous Tiger Pub","Corey Morgan"
"Daily Barracuda Inn","Corinne Powell"
"Amused Lemon Parlor","Cornelia Jackson"
"Wrong Whip Bar","Cornelia Jackson"
"Ye Olde Lord Bar","Cornelia Jackson"
"Iron Library Tavern","Cornelia Spicher"
"Interesting Trumpet Inn","Cornelia Spicher"
"Familiar Pony Tavern","Cornelia Trytten"
"Earthy Bird Pub","Cornelia Trytten"
"Empty Snapdragon Pub","Cornelia Trytten"
"Ruthless Chestnut","Cornelius Gibson"
"Rusty Sailor Outpost","Cornelius Gibson"
"Russian Otter Pub","Cornelius Gibson"
"Needy Mind Tavern","Cornelius Paredes"
"Natural Squash Tavern","Cornelius Paredes"
"Naughty Bean Inn","Cornelius Paredes"
"Middle Cushion Bar","Cory Pacheco"
"Magnificent Dark Elf Bar","Cory Pacheco"
"Admiral Benbow Inn","Cory Willis"
Anchor,"Cory Willis"
"Absent Snow","Cory Willis"
"Rainy Lime Tavern","Courtney Brumit"
"Real Shark Inn","Courtney Brumit"
"Quickest Doves","Courtney Brumit"
"Hungry Skunks Bar","Courtney Clark"
"Rich Tauren Bar","Courtney Hayes"
"Regular Drum Tavern","Courtney Hayes"
"Gifted Zebra Tavern","Courtney Larocca"
"Overrated Pigeons Pub","Courtney Manus"
"Parallel Pegasus Bar","Courtney Manus"
"Peaceful Bison","Courtney Manus"
"Spicy Cats Tavern","Courtney Olson"
"Sour Axe Bar","Courtney Olson"
"Ugliest Pants Tavern","Courtney Platt"
"Uneven Ants Tavern","Courtney Platt"
"Twelve Spider Inn","Courtney Platt"
"Nervous Jaguar Inn","Courtney Schaffer"
"Nervous Mountain Inn","Courtney Schaffer"
"New Spider Bar","Courtney Schaffer"
"Itchy Cheetah Bar","Courtney Scherzer"
"Ivory Lamb Pub","Courtney Scherzer"
"Venomous River Inn","Courtney Vasquez"
"Wicked Stream","Courtney Vasquez"
"Organic Buffalo Bar","Coy Hopper"
"Armed Pudding Bar","Craig Artis"
"Assorted Dandelion Bar","Craig Artis"
"Atomic Liquors","Craig Artis"
"Busy Bachelor Bar","Craig Brown"
"Brave Olive Pub","Craig Brown"
"Sweet And Sour Castle Bar","Craig Clark"
"Sudden Octopus","Craig Clark"
"Sudden Dragon Bar","Craig Clark"
Anchor,"Craig Gallipeau"
"Absent Snow","Craig Gallipeau"
"Admiral Benbow Inn","Craig Gallipeau"
"Unusual Truffle","Craig Gerth"
"Venomous River Inn","Craig Gerth"
"Wicked Stream","Craig Gerth"
"Busy Bachelor Bar","Craig Goddard"
"Blue City","Craig Goddard"
"Brave Olive Pub","Craig Goddard"
"Iron Tigress Inn","Craig Guzman"
"Chubby Badger Pub","Craig Haldeman"
"Cheap Vampire","Craig Haldeman"
"Chinese Oak","Craig Haldeman"
"Jealous Fiddle Pub","Craig Lippert"
"Keen Snail Bar","Craig Lippert"
"Snobbish Jackal Inn","Craig Miller"
"Sore Head","Craig Miller"
"Smelly Crane Tavern","Craig Miller"
"Courageous Lyre Bar","Craig Ruiz"
"Different Kumquat Pub","Craig Steffensmeier"
"Dizzy Lemon Lounge","Craig Steffensmeier"
"Discreet Elderberry Pub","Craig Steffensmeier"
"Lonely Snowdrop","Craig Treston"
"Loud Elderberry Bar","Craig Treston"
"Wicked Stream","Craig Wallace"
"Venomous River Inn","Craig Wallace"
"Unusual Truffle","Craig Wallace"
"Ivory Lamb Pub","Cristal Clare"
"Itchy Cheetah Bar","Cristal Clare"
"Molten Ants Bar","Cristi Freitag"
"Natural Leopard","Cristi Freitag"
"Bloody Lady","Cristopher Cifelli"
"Admiral Benbow Inn","Cristopher Steier"
Anchor,"Cristopher Steier"
"Absent Snow","Cristopher Steier"
"Shouting Snake Inn","Cristy Amaker"
"Skinny Guitar","Cristy Amaker"
"Sudden Dragon Bar","Cruz Foster"
"Organic Buffalo Bar","Cruz Simpson"
"Oceanic Woodpecker Inn","Cruz Simpson"
"Quickest Doves","Crystal Castillo"
"Full Guitar","Crystal Cooley"
"Gifted Zebra Tavern","Crystal Cooley"
"Shouting Snake Inn","Crystal Heath"
"Skinny Guitar","Crystal Heath"
"Itchy Cheetah Bar","Crystal Howell"
"Iron Turkey","Crystal Howell"
"Earthy Bird Pub","Crystal Inoue"
"Empty Snapdragon Pub","Crystal Inoue"
"Skinny Guitar","Crystal Simmons"
"Shouting Snake Inn","Crystal Simmons"
"Shattered Oak","Crystal Simmons"
"Harsh Flame Tavern","Crystal Smiley"
"Gypsy Root Roadhouse","Crystal Smiley"
"Gray City","Crystal Smiley"
"Iron Tigress Inn","Cuc Webb"
"Foamy Cave","Curt Gallagher"
"Nervous Jaguar Inn","Curtis Avitia"
"Nervous Mountain Inn","Curtis Avitia"
"New Spider Bar","Curtis Avitia"
"Rusty Sailor Outpost","Curtis Blizzard"
"Scary Kiwi","Curtis Cain"
"Familiar Pony Tavern","Curtis Cruz"
"Empty Snapdragon Pub","Curtis Cruz"
"Smelly Crane Tavern","Curtis Duhon"
"Sore Head","Curtis Duhon"
"Chubby Badger Pub","Curtis Frankhouser"
"Cheap Vampire","Curtis Frankhouser"
"Lying Explorer Tavern","Curtis Harms"
"Middle Cushion Bar","Curtis Harms"
"New Spider Bar","Curtis Lee"
"Nervous Mountain Inn","Curtis Lee"
"Proud Spiders","Curtis Madigan"
"Purple Pint Bar and Grille","Curtis Madigan"
"Hissing Ocean Bar","Curtis Martinez"
"Chubby Badger Pub","Curtis Parr"
"Chinese Oak","Curtis Parr"
"Cheap Vampire","Curtis Parr"
"Tacky Lyre Pub","Curtis Rice"
"Swift Angels Pub","Curtis Rice"
"Armed Pudding Bar","Curtis Rose"
"Atomic Liquors","Curtis Rose"
"Nifty Branch Inn","Curtis Scanlon"
"Courageous Lyre Bar","Curtis Schlarbaum"
"Dramatic Crabs","Curtis Skiba"
"Organic Buffalo Bar","Curtis Warner"
"Oceanic Woodpecker Inn","Curtis Warner"
"Oceanic Knight Inn","Curtis Warner"
"Earthy Bird Pub","Cyndi Humphreys"
"Windy Harp","Cynthia Arnold"
"Wretched Grape Inn","Cynthia Arnold"
"Wild Hag Bar","Cynthia Arnold"
"Hissing Ocean Bar","Cynthia Bradley"
"Itchy Cheetah Bar","Cynthia Carrick"
"Ivory Lamb Pub","Cynthia Carrick"
"Dandy Cloud Bistro","Cynthia Cobbs"
"Daily Barracuda Inn","Cynthia Cobbs"
"Deep Flute Bar","Cynthia Cobbs"
"Ugliest Pants Tavern","Cynthia Gowans"
"Gypsy Root Roadhouse","Cynthia Hunter"
"Harsh Flame Tavern","Cynthia Hunter"
"Hoppy Apple Brewhouse","Cynthia Jennrich"
"Hungry Skunks Bar","Cynthia Jennrich"
"Clever Child","Cynthia Johnson"
"Clean Bed Inn","Cynthia Johnson"
"Snobbish Jackal Inn","Cynthia Locklear"
"Smelly Crane Tavern","Cynthia Locklear"
"Molten Ants Bar","Cynthia Lopes"
"Natural Leopard","Cynthia Lopes"
"Mixing Demon Pub","Cynthia Lopes"
"Courageous Lyre Bar","Cynthia Meade"
"Skinny Guitar","Cynthia Perry"
"Shattered Oak","Cynthia Perry"
"Shouting Snake Inn","Cynthia Perry"
"Purple Pint Bar and Grille","Cynthia Ramey"
"Ugliest Pants Tavern","Cynthia Sexton"
"Twelve Spider Inn","Cynthia Sexton"
"Uneven Ants Tavern","Cynthia Sexton"
"Famous Tiger Pub","Cynthia Spagnuolo"
"Fascinated Demon Pub","Cynthia Spagnuolo"
"Teeny Gauntlet Bar","Cynthia Stargell"
"Thundering Table Inn","Cynthia Stargell"
"Triangular Pegasus Inn","Cynthia Stargell"
"Skinny Guitar","Cynthia Tabron"
"Shattered Oak","Cynthia Tabron"
"Loud Elderberry Bar","Cynthia Vass"
"Lonely Snowdrop","Cynthia Vass"
"Brave Olive Pub","Cynthia Wells"
"Busy Bachelor Bar","Cynthia Wells"
"Hungry Turtle Pub","Cynthia Wheeler"
"Hungry Vanilla Bean Tavern","Cynthia Wheeler"
"Organic Buffalo Bar","Cyrus Cifuentes"
"Oceanic Knight Inn","Cyrus Cifuentes"
"Clean Bed Inn","Cyrus Zimmerman"
"Original Acorn Roadhouse","Daisy Doe"
"Outrageous Sailboat Inn","Daisy Doe"
"Original Horse Brewpub","Daisy Doe"
"Deep Lantern","Daisy Drakeford"
"Diamond Turtle Inn","Daisy Drakeford"
"Iron Library Tavern","Daisy Silvers"
"Iron Tigress Inn","Daisy Silvers"
"Spinning Nomad Ale House","Daisy Strout"
"Spicy Cats Tavern","Daisy Strout"
"Sour Axe Bar","Daisy Strout"
"Sore Head","Daisy Thompson"
"Chunky Hawks Tavern","Dale Atkins"
"Responsible Chair","Dale Charles"
"Assorted Dandelion Bar","Dale Edelen"
"Armed Pudding Bar","Dale Edelen"
"Atomic Liquors","Dale Edelen"
"Hungry Skunks Bar","Dale Harr"
"Hoppy Apple Brewhouse","Dale Harr"
"Hot Cup Inn","Dale Harr"
"Needy Mind Tavern","Dale Olson"
"Naughty Bean Inn","Dale Olson"
"Teeny Gauntlet Bar","Dale Robinson"
"Triangular Pegasus Inn","Dale Robinson"
"Assorted Dandelion Bar","Dale Rodriguez"
"Atomic Liquors","Dale Rodriguez"
"Purple Pint Bar and Grille","Dale Shotkoski"
"Proud Spiders","Dale Shotkoski"
"Psychotic Seadog","Dale Shotkoski"
Anchor,"Dale Tatem"
"Admiral Benbow Inn","Dale Tatem"
"Hypnotic Gate Tavern","Dallas Windham"
"Hungry Turtle Pub","Dallas Windham"
"Hungry Vanilla Bean Tavern","Dallas Windham"
"Psychotic Seadog","Damion Moore"
"Purple Pint Bar and Grille","Damion Moore"
"Gifted Zebra Tavern","Damon Christian"
"Middle Cushion Bar","Damon Crouse"
"Wretched Grape Inn","Dan Carrizales"
"Wild Hag Bar","Dan Carrizales"
"Windy Harp","Dan Craiger"
"Wretched Grape Inn","Dan Craiger"
"Wild Hag Bar","Dan Craiger"
"Sweet And Sour Castle Bar","Dan Fair"
"Ruthless Chestnut","Dan Hanson"
"Rusty Sailor Outpost","Dan Hanson"
"Blue City","Dan Leroy"
"Brave Olive Pub","Dan Leroy"
"Peaceful Bison","Dan Melendez"
"Real Shark Inn","Dan Pankow"
"Quickest Doves","Dan Pankow"
"Original Horse Brewpub","Dan Rambo"
"Outrageous Sailboat Inn","Dan Rambo"
"Uneven Ants Tavern","Dan Smith"
Anchor,"Dana Bryson"
"Admiral Benbow Inn","Dana Bryson"
"Regular Drum Tavern","Dana Gonzales"
"Twelve Spider Inn","Dana Gordon"
"Uneven Ants Tavern","Dana Gordon"
"Ugliest Pants Tavern","Dana Gordon"
"Laughing Elephant Tavern","Dana Jackson"
"Latino Magpie","Dana Jackson"
"Little Elixir Club","Dana Jackson"
"Oceanic Knight Inn","Dana Mason"
"Armed Pudding Bar","Dana Mosquera"
"Assorted Dandelion Bar","Dana Mosquera"
"Deep Glass Bar","Dana Page"
"Diamond Turtle Inn","Dana Page"
"Original Acorn Roadhouse","Dana Rife"
"Outrageous Sailboat Inn","Dana Rife"
"Outrageous Sailboat Inn","Dana Thruston"
"Original Acorn Roadhouse","Dana Thruston"
"Outrageous Sailboat Inn","Dana Urban"
"Original Acorn Roadhouse","Dana Urban"
"Original Horse Brewpub","Dana Urban"
"Triangular Pegasus Inn","Dana Whitchurch"
"Thundering Table Inn","Dana Whitchurch"
"Teeny Gauntlet Bar","Dana Whitchurch"
"New Spider Bar","Dana Wright"
"Nervous Mountain Inn","Dana Wright"
"Twelve Spider Inn","Dana Yates"
"Ugliest Pants Tavern","Dana Yates"
"Uneven Ants Tavern","Dana Yates"
"Rainy Lime Tavern","Dane Hayden"
"Real Shark Inn","Danelle Lawrence"
"Quickest Doves","Danelle Lawrence"
"Rainy Lime Tavern","Danelle Lawrence"
"Deep Lantern","Daniel Alvarez"
"Diamond Turtle Inn","Daniel Alvarez"
"Hoppy Apple Brewhouse","Daniel Aultman"
"Gifted Pillow Inn","Daniel Benson"
"Gifted Zebra Tavern","Daniel Benson"
"Deep Glass Bar","Daniel Berg"
"Diamond Turtle Inn","Daniel Berg"
"Deep Lantern","Daniel Berg"
"Hungry Skunks Bar","Daniel Bravo"
"Hoppy Apple Brewhouse","Daniel Bravo"
"Hot Cup Inn","Daniel Bravo"
"Harsh Flame Tavern","Daniel Brubaker"
"Gray City","Daniel Brubaker"
"Gypsy Root Roadhouse","Daniel Brubaker"
"Shouting Snake Inn","Daniel Burns"
"Skinny Guitar","Daniel Burns"
"Fearless Drum Bar","Daniel Campbell"
"Bloody Lady","Daniel Cardone"
"Best Stick Tavern","Daniel Cardone"
"Scared Crossbow Tavern","Daniel Crouse"
"Safe Palm Inn","Daniel Crouse"
"Fearless Drum Bar","Daniel Douglas"
"Foamy Cave","Daniel Douglas"
"Crooked Sailor Ale House","Daniel Dowdy"
"Middle Cushion Bar","Daniel Fasheh"
"Lying Explorer Tavern","Daniel Fasheh"
"Chinese Oak","Daniel Feauto"
"Ivory Lamb Pub","Daniel Ford"
"Drab Parrots Pub","Daniel Fuller"
"Foamy Cave","Daniel Gant"
"Fearless Drum Bar","Daniel Gant"
"Iron Library Tavern","Daniel Gomes"
"Iron Tigress Inn","Daniel Gomes"
"Hungry Vanilla Bean Tavern","Daniel Goodwin"
"Hungry Turtle Pub","Daniel Goodwin"
"Iron Library Tavern","Daniel Harris"
"Interesting Trumpet Inn","Daniel Harris"
"Gypsy Root Roadhouse","Daniel Harrison"
"Ugliest Pants Tavern","Daniel Hinton"
"Twelve Spider Inn","Daniel Hinton"
"Uneven Ants Tavern","Daniel Hinton"
"Assorted Dandelion Bar","Daniel Honig"
"Armed Pudding Bar","Daniel Honig"
"Organic Buffalo Bar","Daniel Jackson"
"Oceanic Knight Inn","Daniel Jackson"
"Oceanic Woodpecker Inn","Daniel Jackson"
"Spinning Nomad Ale House","Daniel Jamison"
"Twelve Spider Inn","Daniel Johnson"
"Ye Olde Lord Bar","Daniel Jordan"
"Outrageous Sailboat Inn","Daniel Jose"
"Itchy Cheetah Bar","Daniel Kallam"
"Ivory Lamb Pub","Daniel Kallam"
"Sudden Dragon Bar","Daniel Kleckner"
"Sudden Octopus","Daniel Kleckner"
"Sweet And Sour Castle Bar","Daniel Kleckner"
"Diamond Turtle Inn","Daniel Lane"
"Deep Glass Bar","Daniel Lane"
"Smelly Crane Tavern","Daniel Libby"
"Snobbish Jackal Inn","Daniel Libby"
"Sore Head","Daniel Libby"
"Perfect Rabbit Tavern","Daniel Mathis"
"Pleasant Parrot Tavern","Daniel Mathis"
"Poor Bats Inn","Daniel Mathis"
"Middle Cushion Bar","Daniel Middleton"
"Diamond Turtle Inn","Daniel Miller"
"Swift Angels Pub","Daniel Morales"
"Tasty Fairy Tavern","Daniel Morales"
"Tacky Lyre Pub","Daniel Morales"
"Mixing Demon Pub","Daniel Moskowitz"
"Molten Ants Bar","Daniel Moskowitz"
"Natural Leopard","Daniel Moskowitz"
"Awful Salmon Bar","Daniel Nunez"
"Bloody Lady","Daniel Nunez"
"Wild Hag Bar","Daniel Ott"
"Nifty Branch Inn","Daniel Park"
"Nimble Stream Pub","Daniel Park"
"Nimble Squash","Daniel Park"
"Deep Flute Bar","Daniel Pattison"
"Chunky Hawks Tavern","Daniel Polizio"
"Clever Child","Daniel Polizio"
"Clean Bed Inn","Daniel Polizio"
"Responsible Chair","Daniel Pratt"
"Regular Drum Tavern","Daniel Pratt"
"Rich Tauren Bar","Daniel Pratt"
"Natural Squash Tavern","Daniel Reichmann"
"Needy Mind Tavern","Daniel Reichmann"
"Naughty Bean Inn","Daniel Reichmann"
"Sudden Dragon Bar","Daniel Ridings"
"Sweet And Sour Castle Bar","Daniel Ridings"
"Sudden Octopus","Daniel Ridings"
"Chunky Hawks Tavern","Daniel Robin"
"Clever Child","Daniel Robin"
"Clean Bed Inn","Daniel Robin"
"Skinny Guitar","Daniel Rosado"
"Shouting Snake Inn","Daniel Rosado"
"Snobbish Jackal Inn","Daniel Sandoval"
"Smelly Crane Tavern","Daniel Sandoval"
"Deep Lantern","Daniel Smith"
"Deep Glass Bar","Daniel Smith"
"Tasty Fairy Tavern","Daniel Sprecher"
"Swift Angels Pub","Daniel Sprecher"
"Tacky Lyre Pub","Daniel Sprecher"
"Sweet And Sour Castle Bar","Daniel Theiler"
"Sudden Octopus","Daniel Theiler"
"Psychotic Seadog","Daniel Thomas"
"Purple Pint Bar and Grille","Daniel Thomas"
"Proud Spiders","Daniel Thomas"
"Incredible Sailboat Pub","Daniel Timm"
"Icky Elephants Tavern","Daniel Timm"
"Blue City","Daniel Tinsley"
"Familiar Pony Tavern","Daniel Vansumeren"
"Earthy Bird Pub","Daniel Vansumeren"
"Busy Bachelor Bar","Daniel Warren"
"Brave Olive Pub","Daniel Warren"
"Nimble Stream Pub","Daniel White"
"Nervous Mountain Inn","Daniela Acencio"
"Nervous Jaguar Inn","Daniela Acencio"
"Original Acorn Roadhouse","Danielle Church"
"Fluffy Husband","Danielle Craft"
"Hot Cup Inn","Danielle Givens"
"Brave Olive Pub","Danielle Harris"
"Blue City","Danielle Harris"
"Mixing Demon Pub","Danielle Martinez"
"Natural Leopard","Danielle Martinez"
"Molten Ants Bar","Danielle Martinez"
"Spirited Brew Saloon","Danielle Severson"
"Steel Elf","Danielle Severson"
"Steel Yew","Danielle Severson"
"Twelve Spider Inn","Danielle Siewers"
"Diamond Turtle Inn","Danielle Taylor"
"Deep Glass Bar","Danielle Taylor"
"Psychotic Seadog","Danielle White"
"Purple Pint Bar and Grille","Danielle White"
"Proud Spiders","Danielle White"
"Laughing Elephant Tavern","Danika Drake"
"Spicy Cats Tavern","Danilo Ramsey"
"Nimble Squash","Danny Berry"
"Nimble Stream Pub","Danny Berry"
"Steel Yew","Danny Burns"
"Steel Elf","Danny Burns"
"Overrated Pigeons Pub","Danny Frausto"
"Organic Buffalo Bar","Danny Goolsby"
"Scared Crossbow Tavern","Danny Gray"
"Ivory Lamb Pub","Danny Johnson"
"Itchy Cheetah Bar","Danny Johnson"
"Outrageous Sailboat Inn","Danny Laughlin"
"Original Horse Brewpub","Danny Laughlin"
"Original Acorn Roadhouse","Danny Laughlin"
"Russian Otter Pub","Danny Register"
"Full Guitar","Danny Sanders"
"New Spider Bar","Danny Welsh"
"Nervous Mountain Inn","Danny Welsh"
"Psychotic Seadog","Daphne Jared"
"Icky Elephants Tavern","Daphne Webley"
"Incredible Sailboat Pub","Daphne Webley"
"Impossible Fire","Daphne Webley"
"Clean Bed Inn","Daphne Zukof"
"Assorted Dandelion Bar","Darcie Ayers"
"Armed Pudding Bar","Darcie Ayers"
"Deep Flute Bar","Darcy Smith"
"Dandy Cloud Bistro","Darcy Smith"
"Daily Barracuda Inn","Darcy Smith"
"Loud Elderberry Bar","Darcy Varner"
"Lively Elf","Darcy Varner"
"Scary Kiwi","Daren Willis"
"Safe Palm Inn","Daren Willis"
"Discreet Elderberry Pub","Dario Griswold"
"Nervous Mountain Inn","Dario Nichols"
"Nervous Jaguar Inn","Dario Nichols"
"Little Elixir Club","Darla Hamilton"
"Laughing Elephant Tavern","Darla Hamilton"
"Spirited Brew Saloon","Darlene Beckstead"
"Steel Yew","Darlene Beckstead"
"Steel Elf","Darlene Beckstead"
"Original Acorn Roadhouse","Darlene Cherry"
"Outrageous Sailboat Inn","Darlene Cherry"
"Original Horse Brewpub","Darlene Cherry"
"Keen Snail Bar","Darlene Chester"
"Jealous Fiddle Pub","Darlene Chester"
"Jaded Pants Pub","Darlene Chester"
"Absent Snow","Darlene Hunter"
Anchor,"Darlene Hunter"
"Hungry Skunks Bar","Darlene Jones"
"Hot Cup Inn","Darlene Jones"
"Chunky Hawks Tavern","Darlene Leslie"
"Sudden Octopus","Darlene Mckibben"
"Full Guitar","Darlene Owens"
"Gifted Pillow Inn","Darlene Owens"
"Gifted Zebra Tavern","Darlene Owens"
"Middle Cushion Bar","Darlene Panning"
"Magnificent Dark Elf Bar","Darlene Panning"
"Lying Explorer Tavern","Darlene Panning"
"Familiar Pony Tavern","Darlene Pugh"
"Earthy Bird Pub","Darlene Pugh"
"Overrated Pigeons Pub","Darlene Reynolds"
"Blue City","Darlene Webb"
"Brave Olive Pub","Darlene Webb"
"Double Swan Tavern","Darline Thornton"
"Drab Parrots Pub","Darline Thornton"
"Dramatic Crabs","Darline Thornton"
"Cheap Vampire","Darnell Smith"
"Chubby Badger Pub","Darnell Smith"
"Hidden Lady Parlor","Darnell Thomas"
"Hidden Table Brewpub","Darnell Thomas"
"Hot Cup Inn","Darnell Wilson"
"Hungry Skunks Bar","Darnell Wilson"
"Lonely Snowdrop","Daron Bruner"
"Loud Elderberry Bar","Daron Bruner"
"Lively Elf","Daron Bruner"
"Mixing Demon Pub","Darrel Newson"
"Molten Ants Bar","Darrel Newson"
"Natural Leopard","Darrel Newson"
"Laughing Elephant Tavern","Darrell Donnelly"
"Tasty Fairy Tavern","Darrell Eubanks"
"Tacky Lyre Pub","Darrell Eubanks"
"Spicy Cats Tavern","Darrell Gilbert"
"Sour Axe Bar","Darrell Gilbert"
"Iron Library Tavern","Darrell Gregg"
"Interesting Trumpet Inn","Darrell Gregg"
"Iron Tigress Inn","Darrell Gregg"
"Latino Magpie","Darrell Harada"
"Little Elixir Club","Darrell Harada"
"Laughing Elephant Tavern","Darrell Harada"
"Parallel Pegasus Bar","Darrell Johnson"
"Peaceful Bison","Darrell Johnson"
"Oceanic Knight Inn","Darrell Mitchell"
"Oceanic Woodpecker Inn","Darrell Mitchell"
"Organic Buffalo Bar","Darrell Mitchell"
"Gifted Zebra Tavern","Darren Everson"
"Gifted Pillow Inn","Darren Everson"
"Sudden Dragon Bar","Darren Thomas"
"Sudden Octopus","Darren Thomas"
"Outrageous Sailboat Inn","Darrin Betzer"
"Original Horse Brewpub","Darrin Betzer"
"Overrated Pigeons Pub","Darrin Miles"
